"","SpeciesName","Abundance","Invasive"
"825","Pericampylus glaucus",2,0
"826","Pericampylus glaucus",7,0
"827","Phanera kockiana",9,0
"828","Phanera outimouta",2,0
"829","Phylanthus niruri",11,0
"830","Phylanthus urinaria",327,0
"831","Phyllanthus niruri",145,0
"832","phyllanthus urinaria",1,0
"833","Phyllanthus urinaria",83,0
"834","Pikform Blattbaum",4,0
"835","Piper aduncum",174,0
"836","piper nigrum",7,0
"837","Piperacea spec.",1,0
"838","Pithecellobium jiringa",2,0
"839","pityogramma calomelanos",20,0
"840","Pityrograma calomelanos",3,0
"841","pityrogramma calomelanos",1,0
"842","Pityrogramma calomelanos",7,0
"843","Pityrogramma Calomelanos",67,0
"844","Pityrogramna Calomelanos",5,0
"845","Pohon cermia",7,0
"846","pohon coklat",1,0
"847","Pohon Pelagas",12,0
"848","Pohon Seribu",2,0
"849","Poikilispermum suaveolens",1,0
"850","Poikilospermum suaveoens",3,0
"851","Poikilospermum suaveolens",38,0
"852","Poikilospermum Suaveolens",3,0
"853","Polygala paniculata",1976,0
"854","Polypodium scolopendria",18,0
"855","pouzalzia zeylanica",6,0
"856","Pouzolzia spec.",1,0
"857","pouzolzia zeylania",2,0
"858","Pouzolzia zeylanica",129,0
"859","Pouzolzia Zeylanica",337,0
"860","Prockris spec.",1,0
"861","Psidium guajava",33,0
"862","Psychotria robusta",1,0
"863","Psychotria spec.",12,0
"864","Psychotria viridiflora",3,0
"865","Pteris longifolia",190,0
"866","Pteris tripartita",6,0
"867","Pucuk Berbulu",3,0
"868","Pucuk cabang 2",1,0
"869","Pucuk merah",1,0
"870","Pucuk Merah",14,0
"871","Pulai",13,0
"872","Quisqualis indica",6,0
"873","Rambat 1",15,0
"874","Rambat hijau bulu",3,0
"875","rambat jok",10,0
"876","Rambutan",3,0
"877","Rambutan Hutan",1,0
"878","rattan",1,0
"879","rhododendron lookalike",66,0
"880","Rhynchospora colorata",94,0
"881","Rinorea lanceolata",15,0
"882","Rivina humilis",37,0
"883","Ro_5117-5121",7,0
"884","Rolandra<U+00A0>fruticosa",768,0
"885","Rolandra fruticosa",35,0
"886","Rostellularia obtusa",8,0
"887","Rotan getah",2,0
"888","Rothmannia macrophylla",235,0
"889","Rourea spec.",6,0
"890","Rubiaceae spec.",1,0
"891","Rumbai",1,0
"892","Rumput janggut kambing",5,0
"893","rumput menjalar",20,0
"894","Runcing Gerigi",3,0
"895","rundbl<e4>ttriges Unkraut",556,0
"896","Salacca edulis",1,0
"897","Salacia spec.",2,0
"898","salam hutan",36,0
"899","Salomonia cantoniensis",29,0
"900","Sauropus androginus",2,0
"901","Sauropus androgynus",83,0
"902","Sauropus spec.",7,0
"903","Schizaea spec.",1,0
"904","Scleria bancana",2077,0
"905","Scleria ciliaris",9442,0
"906","Scleria levis",791,0
"907","Scleria spec.",11,0
"908","Scleria sumatrensis",1261,0
"909","Scoparia dulcis",36,0
"910","Selaginella intermedia",2184,0
"911","Selaginella plana",1545,0
"912","Selaginella spec.",1567,0
"913","Sengkuang",50,0
"914","Setaria palmifolia",1885,0
"915","Setaria spec.",14,0
"916","Sida acuta",16,0
"917","Sida rhombifolia",2,0
"918","Silky endospermum",24,0
"919","similar to daun katu",23,0
"920","Sirih Hutan",5,0
"921","Sirih Sirihan",19,0
"922","Sloetia elongata",11,0
"923","Smilax odoratissima",6,0
"924","Solanum Melongena",1,0
"925","Solanum<U+00A0>betaceum",2,0
"926","Solanum betaceum",16,0
"927","Spatholobus ferrugineus",1,0
"928","Spermacoce cristata",193,0
"929","Spermaococe cristata",37,0
"930","Spermaococe latifolia",1646,0
"931","Sphagneticola trilobata",179,0
"932","spitzblaettriges unkraut (aehnlich Pouzalzia S.11)",69,0
"933","Spondias pinnata",1,0
"934","Sporobolus diander",2,0
"935","Stachytarpheta indica",613,0
"936","Stachytarpheta jamaicensis",140,0
"937","Stachytarpheta urinaria",3,0
"938","Stenochlaena palustris",1752,0
"939","Styrax benzoin",4,0
"940","Sugkai",3,0
"941","Sukun",1,0
"942","Sungkai",7,0
"943","Symplocos cochinchinensis",116,0
"944","Syndrella nodiflora",104,0
"945","Synedrella nodiflora",175,0
"946","Synedrella nudiflora",5,0
"947","Syzygium jamboloides",1,0
"948","Syzygium jambosoides",3,0
"949","Syzygium malaccense",3,0
"950","Syzygium polyanthum",2,0
"951","Syzygium spec.",9,0
"952","Syzygium zollingeranium",4,0
"953","Syzygium polyanthum",1,0
"954","Tabernaemontana sp.1",1,0
"955","Taenitis blechnoides",939,0
"956","Talas",65,0
"957","tanaman Boncel",2,0
"958","Tanaman Hias 1",1,0
"959","tarenia violecea",6,0
"960","Tectaria spec.",4,0
"961","Tectona grandis",3,0
"962","Tembakau",5,0
"963","Tembakau bulu",3,0
"964","Tempinis",2,0
"965","Tetracea scandens",16,0
"966","Tetracera indica",229,0
"967","Tetrastigma lanceolarium",2,0
"968","Tetrastigma pedunculare",1,0
"969","Theobroma cacao (Cocoa)",3,0
"970","Theobroma cacau",1,0
"971","Thottea spec.",3,0
"972","Three corner leaf",13,0
"973","Torenia violacea",19,0
"974","Tradescantia fluminensis variegata",33,0
"975","Trema cannabina",2,0
"976","Trema orientalis",18,0
"977","Trevesia burckii",3,0
"978","Tulang Daun Merah",5,0
"979","Tumbuhan Paku",63,0
"980","tumbuhan salung",3,0
"981","tunas sawit/anakan sawit",2,0
"982","Tylophora spec.",7,0
"983","Typhonium spec.",1,0
"984","Ubi Kayu",6,0
"985","Ubi racun/arang",5,0
"986","Uncaria cordata",74,0
"987","Uncaria gambir",8,0
"988","Uncaria glabrata",5,0
"989","Undient_ 1047",2,0
"990","Undient_ 1048",1,0
"991","Undient_ 1049",1,0
"992","Undient_ 1050",1,0
"993","Undient_ 1051",1,0
"994","Unicent_504",23,0
"995","Unicent_505",3,0
"996","Unicent_506",80,0
"997","Unicent_507",2,0
"998","Unident",69,0
"999","Unident 1",2,0
"1000","Unident 10",6,0
"1001","Unident 11",1,0
"1002","Unident 12",21,0
"1003","Unident 13",13,0
"1004","Unident 14",6,0
"1005","Unident 15",2,0
"1006","Unident 16",31,0
"1007","Unident 17",1,0
"1008","Unident 18",1,0
"1009","Unident 19",3,0
"1010","Unident 2",1,0
"1011","Unident 20",1,0
"1012","Unident 21",3,0
"1013","Unident 22",1,0
"1014","Unident 23",3,0
"1015","Unident 24",1,0
"1016","Unident 25",1,0
"1017","Unident 26",3,0
"1018","Unident 27",7,0
"1019","Unident 28",1,0
"1020","Unident 29",4,0
"1021","Unident 3",5,0
"1022","Unident 30",8,0
"1023","Unident 31",3,0
"1024","Unident 32",26,0
"1025","Unident 33",4,0
"1026","Unident 34",4,0
"1027","Unident 35",1,0
"1028","Unident 36",25,0
"1029","Unident 37",1,0
"1030","Unident 38",4,0
"1031","Unident 4",1,0
"1032","Unident 5",9,0
"1033","Unident 6",22,0
"1034","Unident 7",16,0
"1035","Unident 8",1,0
"1036","Unident 9",3,0
"1037","Unident_ 1044",2,0
"1038","Unident_ 1045",2,0
"1039","Unident_ 1046",2,0
"1040","Unident_ 1116",1,0
"1041","Unident_ 1117",1,0
"1042","Unident_ 1216",305,0
"1043","Unident_ 1254",1,0
"1044","Unident_ 1255",4,0
"1045","Unident_ 1256",1,0
"1046","Unident_ 1257",2,0
"1047","Unident_ 549",1,0
"1048","Unident_ 550",1,0
"1049","Unident_ 551",1,0
"1050","Unident_ 552",1,0
"1051","Unident_ 553",1,0
"1052","Unident_ 969",2,0
"1053","Unident_1",5336,0
"1054","Unident_10",23,0
"1055","Unident_100",4,0
"1056","Unident_1001",1,0
"1057","Unident_1004",9,0
"1058","Unident_1005",1,0
"1059","Unident_1006",1,0
"1060","Unident_1007",1,0
"1061","Unident_1008",2,0
"1062","Unident_1009",91,0
"1063","Unident_101",2,0
"1064","Unident_1010",46,0
"1065","Unident_1011",44,0
"1066","Unident_1012",8,0
"1067","Unident_1013",63,0
"1068","Unident_1014",85,0
"1069","Unident_1015",1,0
"1070","Unident_1016",22,0
"1071","Unident_1017",29,0
"1072","Unident_1018",2,0
"1073","Unident_102",1,0
"1074","Unident_1022",6,0
"1075","Unident_1023",4,0
"1076","Unident_1024",1,0
"1077","Unident_1025",1,0
"1078","Unident_1027",1,0
"1079","Unident_1028",11,0
"1080","Unident_1029",3,0
"1081","Unident_1031",2,0
"1082","Unident_1034",1,0
"1083","Unident_1035",1,0
"1084","Unident_1038",1,0
"1085","Unident_1039",1,0
"1086","Unident_1056",1,0
"1087","Unident_1057",3,0
"1088","Unident_1058",1,0
"1089","Unident_1061",2,0
"1090","Unident_1062",5,0
"1091","Unident_1063",3,0
"1092","Unident_1065",2,0
"1093","Unident_1066",1,0
"1094","Unident_1072",3,0
"1095","Unident_1073",2,0
"1096","Unident_1074",3,0
"1097","Unident_1075",4,0
"1098","Unident_1080",1,0
"1099","Unident_1081",4,0
"1100","Unident_1082",1,0
"1101","Unident_1083",1,0
"1102","Unident_1087",1,0
"1103","Unident_1090",1,0
"1104","Unident_1093",3,0
"1105","Unident_1094",4,0
"1106","Unident_1097",1,0
"1107","Unident_1098",1,0
"1108","Unident_1099",1,0
"1109","Unident_11",26,0
"1110","Unident_1102",61,0
"1111","Unident_1103",5,0
"1112","Unident_1105",4,0
"1113","Unident_1108",62,0
"1114","Unident_111",1,0
"1115","Unident_1111",19,0
"1116","Unident_1112",215,0
"1117","Unident_1113",7,0
"1118","Unident_1118",135,0
"1119","Unident_112",1,0
"1120","Unident_1121",1,0
"1121","Unident_1122",1,0
"1122","Unident_1123",202,0
"1123","Unident_1127",2,0
"1124","Unident_113",1,0
"1125","Unident_1133",3,0
"1126","Unident_1134",2,0
"1127","Unident_1135",4,0
"1128","Unident_1136",18,0
"1129","Unident_1137",11,0
"1130","Unident_114",5,0
"1131","Unident_1140",2,0
"1132","Unident_1141",27,0
"1133","Unident_1142",1,0
"1134","Unident_1143",2,0
"1135","Unident_115",1,0
"1136","Unident_1152",3,0
"1137","Unident_1153",2,0
"1138","Unident_1154",3,0
"1139","Unident_1155",7,0
"1140","Unident_1156",2,0
"1141","Unident_1157",1,0
"1142","Unident_1158",1,0
"1143","Unident_116",12,0
"1144","Unident_1162",1,0
"1145","Unident_1164",5,0
"1146","Unident_1165",1,0
"1147","Unident_1166",3,0
"1148","Unident_1167",2,0
"1149","Unident_117",5,0
"1150","Unident_1171",1,0
"1151","Unident_1172",1,0
"1152","Unident_1175",4,0
"1153","Unident_1178",1,0
"1154","Unident_1179",1,0
"1155","Unident_1187",1,0
"1156","Unident_1188",1,0
"1157","Unident_1189",1,0
"1158","Unident_1190",1,0
"1159","Unident_1191",1,0
"1160","Unident_1195",1,0
"1161","Unident_1196",5,0
"1162","Unident_1197",1,0
"1163","Unident_12",5,0
"1164","Unident_1200",4,0
"1165","Unident_1201",1,0
"1166","Unident_1202",2,0
"1167","Unident_1207",1,0
"1168","Unident_1208",3,0
"1169","Unident_122",1,0
"1170","Unident_1221",22,0
"1171","Unident_1222",274,0
"1172","Unident_1226",1,0
"1173","Unident_1227",6,0
"1174","Unident_1228",3,0
"1175","Unident_1229",2,0
"1176","Unident_123",1,0
"1177","Unident_1239",1,0
"1178","Unident_1240",1,0
"1179","Unident_1241",3,0
"1180","Unident_1242",1,0
"1181","Unident_1243",1,0
"1182","Unident_1244",1,0
"1183","Unident_1245",2,0
"1184","Unident_1247",1,0
"1185","Unident_1259",1,0
"1186","Unident_128",2,0
"1187","Unident_129",1,0
"1188","Unident_13",2,0
"1189","Unident_130",1,0
"1190","Unident_131",1,0
"1191","Unident_137",0,0
"1192","Unident_138",0,0
"1193","Unident_139",0,0
"1194","Unident_14",1,0
"1195","Unident_140",0,0
"1196","Unident_141",0,0
"1197","Unident_142",1,0
"1198","Unident_144",46,0
"1199","Unident_145",30,0
"1200","Unident_150",3,0
"1201","Unident_154",1,0
"1202","Unident_155",1,0
"1203","Unident_156",1,0
"1204","Unident_159",4,0
"1205","Unident_160",1,0
"1206","Unident_161",3,0
"1207","Unident_164",1,0
"1208","Unident_165",1,0
"1209","Unident_166",1,0
"1210","Unident_170",6,0
"1211","Unident_171",1,0
"1212","Unident_182",2,0
"1213","Unident_183",6,0
"1214","Unident_184",4,0
"1215","Unident_185",3,0
"1216","Unident_186",9,0
"1217","Unident_187",21,0
"1218","Unident_188",2,0
"1219","Unident_189",1,0
"1220","Unident_190",1,0
"1221","Unident_191",2,0
"1222","Unident_192",1,0
"1223","Unident_194",1,0
"1224","Unident_2",2086,0
"1225","Unident_20",4,0
"1226","Unident_201",1,0
"1227","Unident_203",1,0
"1228","Unident_204",4,0
"1229","Unident_205",1,0
"1230","Unident_206",152,0
"1231","Unident_207",2,0
"1232","Unident_208",118,0
"1233","Unident_209",2,0
"1234","Unident_21",3,0
"1235","Unident_210",2,0
"1236","Unident_211",22,0
"1237","Unident_212",6,0
"1238","Unident_213",1,0
"1239","Unident_216",3,0
"1240","Unident_217",2,0
"1241","Unident_22",10,0
"1242","Unident_222",6,0
"1243","Unident_223",3,0
"1244","Unident_224",1,0
"1245","Unident_225",2,0
"1246","Unident_226",1,0
"1247","Unident_227",8,0
"1248","Unident_233",18,0
"1249","Unident_234",1,0
"1250","Unident_235",1,0
"1251","Unident_240",2,0
"1252","Unident_241",1,0
"1253","Unident_242",1,0
"1254","Unident_246",4,0
"1255","Unident_247",1,0
"1256","Unident_248",1,0
"1257","Unident_251",1,0
"1258","Unident_258",10,0
"1259","Unident_26",1,0
"1260","Unident_262",6,0
"1261","Unident_263",1,0
"1262","Unident_264",1,0
"1263","Unident_265",3,0
"1264","Unident_266",6,0
"1265","Unident_267",1,0
"1266","Unident_27",3,0
"1267","Unident_275",2,0
"1268","Unident_276",1,0
"1269","Unident_277",2,0
"1270","Unident_278",5,0
"1271","Unident_279",2,0
"1272","Unident_280",1,0
"1273","Unident_281",2,0
"1274","Unident_282",1,0
"1275","Unident_287",1,0
"1276","Unident_288",1,0
"1277","Unident_289",1,0
"1278","Unident_293",1,0
"1279","Unident_294",1,0
"1280","Unident_3",1797,0
"1281","Unident_30",1,0
"1282","Unident_300",2,0
"1283","Unident_301",1,0
"1284","Unident_302",3,0
"1285","Unident_303",1,0
"1286","Unident_304",2,0
"1287","Unident_305",3,0
"1288","Unident_306",1,0
"1289","Unident_307",1,0
"1290","Unident_31",23,0
"1291","Unident_314",3,0
"1292","Unident_315",1,0
"1293","Unident_316",3,0
"1294","Unident_317",2,0
"1295","Unident_318",1,0
"1296","Unident_32",14,0
"1297","Unident_320",1,0
"1298","Unident_332",3,0
"1299","Unident_333",1,0
"1300","Unident_334",5,0
"1301","Unident_335",1,0
"1302","Unident_336",1,0
"1303","Unident_337",1,0
"1304","Unident_338",2,0
"1305","Unident_339",1,0
"1306","Unident_340",1,0
"1307","Unident_341",1,0
"1308","Unident_342",2,0
"1309","Unident_343",1,0
"1310","Unident_345",1,0
"1311","Unident_348",1,0
"1312","Unident_349",1,0
"1313","Unident_350",2,0
"1314","Unident_353",1,0
"1315","Unident_356",21,0
"1316","Unident_357",7,0
"1317","Unident_358",1,0
"1318","Unident_36",1,0
"1319","Unident_362",2,0
"1320","Unident_363",1,0
"1321","Unident_364",1,0
"1322","Unident_365",2,0
"1323","Unident_366",1,0
"1324","Unident_367",1,0
"1325","Unident_368",1,0
"1326","Unident_37",7,0
"1327","Unident_373",4,0
"1328","Unident_374",2,0
"1329","Unident_375",2,0
"1330","Unident_376",1,0
"1331","Unident_38",1,0
"1332","Unident_382",1,0
"1333","Unident_383",1,0
"1334","Unident_384",3,0
"1335","Unident_385",1,0
"1336","Unident_387",1,0
"1337","Unident_391",2,0
"1338","Unident_392",1,0
"1339","Unident_398",1,0
"1340","Unident_4",934,0
"1341","Unident_403",9,0
"1342","Unident_404",1,0
"1343","Unident_405",1,0
"1344","Unident_406",1,0
"1345","Unident_407",1,0
"1346","Unident_408",1,0
"1347","Unident_409",1,0
"1348","Unident_410",3,0
"1349","Unident_411",1,0
"1350","Unident_416",1,0
"1351","Unident_417",8,0
"1352","Unident_418",4,0
"1353","Unident_419",19,0
"1354","Unident_420",9,0
"1355","Unident_421",8,0
"1356","Unident_431",2,0
"1357","Unident_432",1,0
"1358","Unident_433",1,0
"1359","Unident_434",1,0
"1360","Unident_435",1,0
"1361","Unident_436",11,0
"1362","Unident_437",1,0
"1363","Unident_438",1,0
"1364","Unident_439",1,0
"1365","Unident_440",5,0
"1366","Unident_441",3,0
"1367","Unident_444",1,0
"1368","Unident_445",3,0
"1369","Unident_452",2,0
"1370","Unident_453",2,0
"1371","Unident_454",10,0
"1372","Unident_456",1,0
"1373","Unident_463",3,0
"1374","Unident_464",3,0
"1375","Unident_465",1,0
"1376","Unident_466",1,0
"1377","Unident_467",203,0
"1378","Unident_471",3,0
"1379","Unident_472",1,0
"1380","Unident_479",2,0
"1381","Unident_480",1,0
"1382","Unident_481",3,0
"1383","Unident_482",1,0
"1384","Unident_483",1,0
"1385","Unident_484",15,0
"1386","Unident_485",3,0
"1387","Unident_486",2,0
"1388","Unident_487",1,0
"1389","Unident_49",3,0
"1390","Unident_497",2,0
"1391","Unident_498",2,0
"1392","Unident_499",1,0
"1393","Unident_5",673,0
"1394","Unident_50",1,0
"1395","Unident_500",1,0
"1396","Unident_501",1,0
"1397","Unident_502",1,0
"1398","Unident_503",1,0
"1399","Unident_51",1,0
"1400","Unident_511",1,0
"1401","Unident_512",1,0
"1402","Unident_513",1,0
"1403","Unident_515",1,0
"1404","Unident_52",3,0
"1405","Unident_520",4,0
"1406","Unident_521",1,0
"1407","Unident_526",1,0
"1408","Unident_527",17,0
"1409","Unident_528",1,0
"1410","Unident_529",11,0
"1411","Unident_53",4,0
"1412","Unident_530",1,0
"1413","Unident_531",1,0
"1414","Unident_535",5,0
"1415","Unident_536",3,0
"1416","Unident_537",1,0
"1417","Unident_538",4,0
"1418","Unident_54",2,0
"1419","Unident_540",1,0
"1420","Unident_542",1,0
"1421","Unident_55",7,0
"1422","Unident_559",34,0
"1423","Unident_56",1,0
"1424","Unident_560",3,0
"1425","Unident_561",1,0
"1426","Unident_564",2,0
"1427","Unident_565",4,0
"1428","Unident_566",1,0
"1429","Unident_569",1,0
"1430","Unident_57",1,0
"1431","Unident_570",1,0
"1432","Unident_571",1,0
"1433","Unident_574",3,0
"1434","Unident_575",7,0
"1435","Unident_576",12,0
"1436","Unident_58",1,0
"1437","Unident_580",16,0
"1438","Unident_583",1,0
"1439","Unident_585",3,0
"1440","Unident_59",1,0
"1441","Unident_592",1,0
"1442","Unident_594",1,0
"1443","Unident_595",4,0
"1444","Unident_596",1,0
"1445","Unident_597",3,0
"1446","Unident_598",1,0
"1447","Unident_599",2,0
"1448","Unident_6",156,0
"1449","Unident_603",3,0
"1450","Unident_604",14,0
"1451","Unident_605",1,0
"1452","Unident_606",1,0
"1453","unident_609",2,0
"1454","Unident_610",1,0
"1455","Unident_615",2,0
"1456","Unident_616",1,0
"1457","Unident_617",1,0
"1458","Unident_620",2,0
"1459","Unident_621",5,0
"1460","Unident_625",130,0
"1461","Unident_626",1,0
"1462","Unident_627",1,0
"1463","Unident_629",1,0
"1464","Unident_63",24,0
"1465","Unident_630",5,0
"1466","Unident_635",3,0
"1467","Unident_636",4,0
"1468","Unident_637",2,0
"1469","Unident_638",5,0
"1470","Unident_639",5,0
"1471","Unident_642",3,0
"1472","Unident_643",1,0
"1473","Unident_644",1,0
"1474","Unident_652",1,0
"1475","Unident_653",1,0
"1476","Unident_654",2,0
"1477","Unident_655",1,0
"1478","Unident_656",1,0
"1479","Unident_657",7,0
"1480","Unident_658",1,0
"1481","Unident_660",1,0
"1482","Unident_662",1,0
"1483","Unident_663",1,0
"1484","Unident_668",4,0
"1485","Unident_669",3,0
"1486","Unident_67",3,0
"1487","Unident_670",10,0
"1488","Unident_671",21,0
"1489","Unident_672",2,0
"1490","Unident_673",1,0
"1491","Unident_677",1,0
"1492","Unident_678",4,0
"1493","Unident_68",1,0
"1494","Unident_683",3,0
"1495","Unident_684",2,0
"1496","Unident_685",1,0
"1497","Unident_686",2,0
"1498","Unident_687",13,0
"1499","Unident_688",2,0
"1500","Unident_69",1,0
"1501","Unident_691",29,0
"1502","Unident_693",1,0
"1503","Unident_694",1,0
"1504","Unident_695",4,0
"1505","Unident_696",24,0
"1506","Unident_699",2,0
"1507","Unident_7",305,0
"1508","Unident_70",2,0
"1509","Unident_700",1,0
"1510","Unident_701",1,0
"1511","Unident_702",1,0
"1512","Unident_705",7,0
"1513","Unident_706",23,0
"1514","Unident_708",149,0
"1515","Unident_71",1,0
"1516","Unident_711",1,0
"1517","Unident_713",12,0
"1518","Unident_718",5,0
"1519","Unident_719",2,0
"1520","Unident_720",248,0
"1521","Unident_724",1,0
"1522","Unident_725",3,0
"1523","Unident_726",11,0
"1524","Unident_730",1,0
"1525","Unident_733",1,0
"1526","Unident_734",1,0
"1527","Unident_739",2,0
"1528","Unident_740",7,0
"1529","Unident_741",1,0
"1530","Unident_744",1,0
"1531","Unident_745",3,0
"1532","Unident_746",1,0
"1533","Unident_750",11,0
"1534","Unident_751",34,0
"1535","Unident_754",2,0
"1536","Unident_755",3,0
"1537","Unident_756",1,0
"1538","Unident_759",1,0
"1539","Unident_760",1,0
"1540","Unident_761",1,0
"1541","Unident_763",2,0
"1542","Unident_764",2,0
"1543","Unident_768",2,0
"1544","Unident_77",1,0
"1545","Unident_773",3,0
"1546","Unident_774",1,0
"1547","Unident_775",1,0
"1548","Unident_777",1,0
"1549","Unident_778",1,0
"1550","Unident_78",1,0
"1551","Unident_781",2,0
"1552","Unident_782",3,0
"1553","Unident_79",1,0
"1554","Unident_794",1,0
"1555","Unident_795",1,0
"1556","Unident_796",6,0
"1557","Unident_797",3,0
"1558","Unident_798",1,0
"1559","Unident_799",1,0
"1560","Unident_8",57,0
"1561","Unident_80",1,0
"1562","Unident_800",1,0
"1563","Unident_801",3,0
"1564","Unident_802",1,0
"1565","Unident_803",9,0
"1566","Unident_804",1,0
"1567","Unident_807",1,0
"1568","Unident_808",41,0
"1569","Unident_809",6,0
"1570","Unident_81",1,0
"1571","Unident_811",1,0
"1572","Unident_813",65,0
"1573","Unident_814",4,0
"1574","Unident_815",6,0
"1575","Unident_816",1,0
"1576","Unident_82",1,0
"1577","Unident_820",1,0
"1578","Unident_824",2,0
"1579","Unident_825",1,0
"1580","Unident_83",1,0
"1581","Unident_830",1,0
"1582","Unident_831",1,0
"1583","Unident_832",2,0
"1584","Unident_833",1,0
"1585","Unident_834",1,0
"1586","Unident_835",3,0
"1587","Unident_836",1,0
"1588","Unident_843",3,0
"1589","Unident_844",4,0
"1590","Unident_845",1,0
"1591","Unident_846",1,0
"1592","Unident_850",1,0
"1593","Unident_855",173,0
"1594","Unident_856",1365,0
"1595","Unident_857",44,0
"1596","Unident_860",144,0
"1597","Unident_861",53,0
"1598","Unident_864",1087,0
"1599","Unident_873",4,0
"1600","Unident_874",2,0
"1601","Unident_875",2,0
"1602","Unident_876",1,0
"1603","Unident_877",1,0
"1604","Unident_878",6,0
"1605","Unident_879",4,0
"1606","Unident_88",2,0
"1607","Unident_880",1,0
"1608","Unident_886",3,0
"1609","Unident_887",1,0
"1610","Unident_888",2,0
"1611","Unident_889",1,0
"1612","Unident_89",26,0
"1613","Unident_890",1,0
"1614","Unident_891",1,0
"1615","Unident_898",1,0
"1616","Unident_899",1,0
"1617","Unident_9",47,0
"1618","Unident_90",19,0
"1619","Unident_900",1,0
"1620","Unident_901",1,0
"1621","Unident_902",41,0
"1622","Unident_907",3,0
"1623","Unident_908",1,0
"1624","Unident_909",21,0
"1625","Unident_91",2,0
"1626","Unident_915",1,0
"1627","Unident_916",2,0
"1628","Unident_917",1,0
"1629","Unident_918",1,0
"1630","Unident_919",1,0
"1631","Unident_92",345,0
"1632","Unident_920",1,0
"1633","Unident_923",1,0
"1634","Unident_926",8,0
"1635","Unident_927",3,0
"1636","Unident_928",1,0
"1637","Unident_929",4,0
"1638","Unident_935",1,0
"1639","Unident_936",103,0
"1640","Unident_937",5,0
"1641","Unident_938",3,0
"1642","Unident_943",10,0
"1643","Unident_944",1,0
"1644","Unident_947",2,0
"1645","Unident_948",2,0
"1646","Unident_952",3,0
"1647","Unident_953",1,0
"1648","Unident_954",4,0
"1649","Unident_955",5,0
"1650","Unident_959",5,0
"1651","Unident_960",5,0
"1652","Unident_961",22,0
"1653","Unident_962",1,0
"1654","Unident_966",3,0
"1655","Unident_967",1,0
"1656","Unident_968",1,0
"1657","Unident_971",1,0
"1658","Unident_974",2,0
"1659","Unident_975",1,0
"1660","Unident_979",4,0
"1661","Unident_98",8,0
"1662","Unident_980",1,0
"1663","Unident_985",11,0
"1664","Unident_986",2,0
"1665","Unident_987",5,0
"1666","Unident_988",6,0
"1667","Unident_99",3,0
"1668","Unident_991",1,0
"1669","Unidetn_747",2,0
"1670","Unidetn_829",1,0
"1671","Urena lobata",17,0
"1672","Vitex pinnata",2,0
"1673","Vitex pubescens",311,0
"1674","Vittaria elongata",1197,0
"1675","Vittaria ensiformis",288,0
"1676","Wedelia biflora",24,0
"1677","Wendlandia glabrata",3,0
